,REPORT
6667,1. there is questionable architectural distortion in the inner left breast at anterior depth.
6668,1. there is questionable architectural distortion in the inner left breast at mid depth.
6669,1. there is questionable architectural distortion in the inner left breast at posterior depth.
6670,1. there is questionable architectural distortion in the outer left breast.
6671,1. there is questionable architectural distortion in the outer left breast at anterior depth.
6672,1. there is questionable architectural distortion in the outer left breast at mid depth.
6673,1. there is questionable architectural distortion in the outer left breast at posterior depth.
6674,1. there is questionable architectural distortion in the upper outer left breast.
6675,1. there is questionable architectural distortion in the upper outer left breast at anterior depth.
6676,1. there is questionable architectural distortion in the upper outer left breast at mid depth.
